City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,luderitz,-26.6481,15.1594,15.16,95,1,2.62,NA,1675131028
1,bologoye,57.8799,34.1068,-0.83,88,100,5.38,RU,1675131561
2,sitka,57.0531,-135.33,2.94,93,100,2.06,US,1675131133
3,bathsheba,13.2167,-59.5167,22.34,83,20,3.09,BB,1675130970
4,naze,28.3667,129.4833,13.89,49,1,1.15,JP,1675131141
5,flinders,-34.5833,150.8552,26.77,70,86,0.89,AU,1675131205
6,saint-augustin,51.226,-58.6502,-13.65,91,100,1.51,CA,1675131115
7,albany,42.6001,-73.9662,-0.76,86,100,0.89,US,1675130985
8,adrar,20.5022,-10.0711,15.04,29,67,3.67,MR,1675131159
9,viedma,-40.8135,-62.9967,19.14,69,100,11.23,AR,1675131565
10,jalu,29.0331,21.5482,10.38,53,0,6.08,LY,1675131566
11,grafing,48.0503,11.9661,2.04,83,94,5.74,DE,1675131567
12,pimenta bueno,-11.6725,-61.1936,22.69,97,99,1.21,BR,1675131567
13,muisne,0.6,-80.0333,24.98,87,31,2.76,EC,1675131568
14,clyde river,70.4692,-68.5914,-27.63,96,100,1.68,CA,1675131023
15,bluff,-46.6,168.3333,18.69,75,47,4.78,NZ,1675130976
16,ilulissat,69.2167,-51.1,-8.99,53,75,4.63,GL,1675131569
17,vaini,-21.2,-175.2,30.09,79,75,3.6,TO,1675131569
18,jamestown,42.097,-79.2353,-2.23,70,100,3.09,US,1675131000
19,kuytun,54.3419,101.5036,-19.26,98,51,2.53,RU,1675131570
20,tasiilaq,65.6145,-37.6368,-10.91,92,100,2.34,GL,1675131061
21,upernavik,72.7868,-56.1549,-16.35,78,100,3.59,GL,1675131032
22,pochutla,15.7432,-96.4661,26.01,76,0,1.71,MX,1675131572
23,dikson,73.5069,80.5464,-24.53,90,100,1.96,RU,1675130978
24,berlevag,70.8578,29.0864,0.97,80,20,4.12,NO,1675131068
25,wollongong,-34.4333,150.8833,27.22,64,84,6.05,AU,1675131573
26,tilichiki,60.4667,166.1,-12.4,95,21,1.93,RU,1675131151
27,bonavista,48.6499,-53.1147,0.33,90,100,3.36,CA,1675131178
28,katsuura,35.1333,140.3,5.78,44,91,4.3,JP,1675130969
29,rio gallegos,-51.6226,-69.2181,10.27,53,9,10.16,AR,1675131103
30,nanortalik,60.1432,-45.2371,-4.16,82,100,8.35,GL,1675131576
31,rovaniemi,66.5,25.7167,-5.33,100,100,5.14,FI,1675131576
32,carnarvon,-24.8667,113.6333,26.11,67,80,3.93,AU,1675131166
33,busselton,-33.65,115.3333,24.23,48,100,6.27,AU,1675131577
34,east london,-33.0153,27.9116,20.57,90,99,8.4,ZA,1675130981
35,kingsport,36.5484,-82.5618,10.98,97,100,0.0,US,1675131331
36,micheweni,-4.9667,39.8333,26.1,75,96,3.44,TZ,1675131578
37,bredasdorp,-34.5322,20.0403,18.12,80,37,5.67,ZA,1675130818
38,mandera,3.9366,41.867,24.71,66,0,5.87,KE,1675131579
39,sao joao da barra,-21.6403,-41.0511,24.99,82,42,9.69,BR,1675131212
40,yellowknife,62.456,-114.3525,-30.25,74,91,3.58,CA,1675130904
41,punta arenas,-53.15,-70.9167,9.06,66,40,4.63,CL,1675131581
42,castro,-24.7911,-50.0119,16.92,97,100,1.1,BR,1675130970
43,hithadhoo,-0.6,73.0833,27.28,76,76,5.44,MV,1675130983
44,mvomero,-6.25,38.6667,22.92,96,51,1.6,TZ,1675131582
45,balykshi,47.0667,51.8667,-7.0,68,5,6.0,KZ,1675131583
46,new norfolk,-42.7826,147.0587,21.72,30,1,1.1,AU,1675130991
47,mehamn,71.0357,27.8492,0.95,86,20,2.57,NO,1675131170
48,qaanaaq,77.484,-69.3632,-20.49,46,13,4.16,GL,1675131330
49,shimoda,34.6667,138.95,6.17,61,100,2.99,JP,1675131008
50,cabo san lucas,22.8909,-109.9124,21.17,64,100,3.09,MX,1675130970
51,kothapet,19.3333,79.4833,21.92,59,99,1.23,IN,1675131585
52,rikitea,-23.1203,-134.9692,26.25,72,26,4.61,PF,1675131422
53,saint-philippe,-21.3585,55.7679,25.77,86,39,2.79,RE,1675131057
54,bubaque,11.2833,-15.8333,25.18,54,46,6.82,GW,1675131587
55,tautira,-17.7333,-149.15,27.35,75,22,6.37,PF,1675130929
56,paamiut,61.994,-49.6678,-8.15,91,100,8.62,GL,1675131587
57,hilo,19.7297,-155.09,22.85,86,100,2.06,US,1675130909
58,shenjiamen,29.9576,122.298,11.27,72,24,9.57,CN,1675131588
59,cabra,37.4725,-4.4421,4.01,69,0,1.37,ES,1675131589
60,nantucket,41.2835,-70.0995,6.03,96,0,2.57,US,1675130785
61,ushuaia,-54.8,-68.3,6.81,65,20,4.12,AR,1675131590
62,valley,45.1277,-116.1262,-17.66,98,20,1.4,US,1675131590
63,esperance,-33.8667,121.9,21.06,69,2,6.28,AU,1675131115
64,buynaksk,42.819,47.1192,-3.99,79,4,1.11,RU,1675131564
65,pangody,65.85,74.4859,-21.92,100,99,3.51,RU,1675131592
66,izberbash,42.5696,47.8645,-0.97,84,22,4.31,RU,1675131592
67,butaritari,3.0707,172.7902,27.17,76,94,9.09,KI,1675130867
68,hermanus,-34.4187,19.2345,19.33,78,29,7.53,ZA,1675131593
69,udachnyy,66.4167,112.4,-39.75,100,98,1.75,RU,1675131594
70,aksu,41.1231,80.2644,-10.61,91,100,1.22,CN,1675131127
71,constitucion,-35.3333,-72.4167,16.52,78,0,6.77,CL,1675131006
72,sinnamary,5.3833,-52.95,23.54,90,21,2.14,GF,1675130940
73,port alfred,-33.5906,26.891,18.99,95,97,1.34,ZA,1675130999
74,avarua,-21.2078,-159.775,26.03,83,75,5.14,CK,1675131335
75,sterling,39.0062,-77.4286,11.11,78,20,2.68,US,1675130785
76,palm coast,29.585,-81.2078,22.78,90,30,2.18,US,1675131596
77,coquimbo,-29.9533,-71.3436,16.85,94,0,2.57,CL,1675131597
78,arraial do cabo,-22.9661,-42.0278,24.76,87,100,12.36,BR,1675131598
79,saint andrews,34.0454,-81.1293,13.88,80,100,0.0,US,1675131598
80,gondar,12.6,37.4667,15.18,32,8,2.19,ET,1675131599
81,la ronge,55.1001,-105.2842,-24.24,97,12,2.91,CA,1675131064
82,geraldton,-28.7667,114.6,28.23,61,0,2.57,AU,1675130905
83,khatanga,71.9667,102.5,-43.58,100,63,1.35,RU,1675131065
84,cherskiy,68.75,161.3,-5.56,84,100,2.36,RU,1675131011
85,haysyn,48.8114,29.3898,-1.56,94,100,2.96,UA,1675131601
86,mataura,-46.1927,168.8643,30.6,35,13,0.6,NZ,1675131602
87,katyuzhanka,50.806,30.1376,-1.37,90,100,4.61,UA,1675131602
88,sinop,41.7711,34.8709,0.84,96,99,1.18,TR,1675131603
89,ternate,0.8,127.4,26.35,85,100,4.27,ID,1675131604
90,bengkulu,-3.8004,102.2655,26.31,80,100,1.42,ID,1675131174
91,meru,0.0463,37.6559,14.34,76,6,1.49,KE,1675131605
92,dombas,62.0696,9.1235,-12.74,95,63,2.92,NO,1675131605
93,kapaa,22.0752,-159.319,22.18,94,100,10.8,US,1675131350
94,cape town,-33.9258,18.4232,20.77,62,0,6.69,ZA,1675131437
95,bambous virieux,-20.3428,57.7575,25.12,88,40,1.54,MU,1675131607
96,saint george,37.1041,-113.5841,1.33,51,0,2.57,US,1675130915
97,ponta do sol,32.6667,-17.1,15.35,73,34,3.44,PT,1675131608
98,piacabucu,-10.4056,-36.4344,25.21,79,7,2.62,BR,1675131609
99,san martin,-33.081,-68.4681,30.3,37,0,3.95,AR,1675131610
100,barrow,71.2906,-156.7887,-22.99,77,0,8.75,US,1675131015
101,taybad,34.74,60.7756,6.12,62,100,8.36,IR,1675131611
102,aksarka,66.5606,67.7975,-24.26,98,42,3.17,RU,1675131612
103,perevoz,55.5961,44.5446,-5.31,89,100,6.89,RU,1675131612
104,hobart,-42.8794,147.3294,24.04,53,20,5.14,AU,1675131613
105,nelson bay,-32.7167,152.15,26.03,77,60,6.71,AU,1675131614
106,kavieng,-2.5744,150.7967,28.58,70,59,1.85,PG,1675131614
107,timbiqui,2.7717,-77.6654,23.61,94,99,1.95,CO,1675131615
108,portobelo,9.55,-79.65,25.53,84,57,6.06,PA,1675131616
109,sioux lookout,50.1001,-91.917,-23.96,70,0,3.09,CA,1675131616
110,kruisfontein,-34.0033,24.7314,18.11,91,100,4.23,ZA,1675131576
111,sola,-13.8833,167.55,26.58,76,100,2.41,VU,1675130981
112,bridlington,54.0831,-0.1919,6.27,83,100,9.33,GB,1675131618
113,yulara,-25.2406,130.9889,29.64,36,36,2.37,AU,1675131618
114,polaniec,50.4332,21.2812,2.73,94,100,0.45,PL,1675131619
115,hammerfest,70.6634,23.6821,1.25,80,75,3.09,NO,1675131620
116,gazanjyk,39.2446,55.5154,3.11,67,83,3.81,TM,1675131621
117,airai,-8.9266,125.4092,21.55,77,100,0.65,TL,1675130901
118,rawson,-43.3002,-65.1023,15.98,64,53,8.42,AR,1675130945
119,deputatskiy,69.3,139.9,-25.83,94,100,2.82,RU,1675131193
120,klaksvik,62.2266,-6.589,4.51,73,73,11.13,FO,1675130785
121,dunedin,-45.8742,170.5036,21.56,72,6,3.58,NZ,1675131624
122,vostok,46.4856,135.8833,-16.98,86,100,2.23,RU,1675131157
123,pointe michel,15.25,-61.3833,24.18,76,2,3.6,DM,1675131625
124,ribeira grande,38.5167,-28.7,13.76,77,19,1.79,PT,1675131062
125,chokurdakh,70.6333,147.9167,-13.28,95,100,4.05,RU,1675131626
126,hami,42.8,93.45,-5.1,28,93,0.67,CN,1675131114
127,hasaki,35.7333,140.8333,6.27,45,100,5.12,JP,1675131126
128,caravelas,-17.7125,-39.2481,23.86,85,55,2.17,BR,1675131627
129,san jeronimo,-11.9472,-75.2829,9.09,92,100,1.64,PE,1675131628
130,wanaka,-44.7,169.15,25.62,56,40,2.68,NZ,1675131629
131,georgetown,5.4112,100.3354,27.96,74,20,2.06,MY,1675131630
132,palmer,42.1584,-72.3287,6.95,78,100,1.54,US,1675131493
133,cairns,-16.9167,145.7667,33.37,76,40,2.57,AU,1675131532
134,pangnirtung,66.1451,-65.7125,-32.51,99,100,0.52,CA,1675131197
135,tiarei,-17.5333,-149.3333,30.0,75,18,5.6,PF,1675131631
136,faanui,-16.4833,-151.75,27.45,75,8,5.45,PF,1675131632
137,lamar,33.6668,-95.5836,-1.05,95,100,5.14,US,1675131632
138,doha,25.2867,51.5333,12.17,78,0,5.21,QA,1675131633
139,semirom,31.4167,51.5667,-2.99,94,64,3.73,IR,1675131634
140,santa rosalia,27.3167,-112.2833,13.44,60,2,0.39,MX,1675131634
141,kulhudhuffushi,6.6221,73.07,26.63,74,100,4.34,MV,1675131635
142,kenai,60.5544,-151.2583,1.16,92,100,3.09,US,1675131547
143,mopti,14.6667,-4.0,18.66,8,99,3.96,ML,1675131636
144,thompson,55.7435,-97.8558,-26.91,76,20,3.09,CA,1675131637
145,parchim,53.4263,11.8488,3.73,79,13,7.81,DE,1675131638
146,terra nova,-12.3667,-40.6667,18.79,85,3,1.52,BR,1675131528
147,atuona,-9.8,-139.0333,26.31,79,58,9.41,PF,1675131638
148,bratsk,56.1325,101.6142,-16.73,99,66,2.33,RU,1675131639
149,tuatapere,-46.1333,167.6833,22.75,63,82,3.52,NZ,1675131110
150,port macquarie,-31.4333,152.9167,24.38,67,52,4.5,AU,1675131542
151,kaduqli,11.0167,29.7167,22.89,19,1,2.91,SD,1675131640
152,saint-joseph,-21.3667,55.6167,26.21,85,22,2.38,RE,1675131641
153,kodiak,57.79,-152.4072,4.73,93,100,2.57,US,1675131642
154,bandarbeyla,9.4942,50.8122,21.89,75,45,5.74,SO,1675131642
155,vao,-22.6667,167.4833,24.48,69,0,2.38,NC,1675131406
156,westport,41.1415,-73.3579,7.75,85,20,1.54,US,1675131643
157,mount gambier,-37.8333,140.7667,21.61,44,32,3.06,AU,1675131644
158,nome,64.5011,-165.4064,-0.47,100,100,2.57,US,1675131644
159,norman wells,65.282,-126.8329,-22.98,84,20,6.17,CA,1675131135
160,asau,46.4333,26.4,-3.49,90,100,2.25,RO,1675131645
161,iquitos,-3.7481,-73.2472,25.02,88,0,1.54,PE,1675131646
162,ninh binh,20.2539,105.975,17.01,47,46,1.06,VN,1675131646
163,beaumont,30.0861,-94.1019,12.99,100,100,4.12,US,1675131563
164,zarubino,42.63,131.0922,-7.55,70,100,2.16,RU,1675131175
165,arkhipo-osipovka,44.37,38.52,5.84,80,100,0.75,RU,1675131648
166,navalmoral de la mata,39.8916,-5.5406,4.42,74,0,0.43,ES,1675131649
167,vuktyl,63.8567,57.3094,-12.17,90,100,5.47,RU,1675131649
168,los llanos de aridane,28.6585,-17.9182,13.86,72,100,4.47,ES,1675131148
169,nikolskoye,59.7035,30.7861,1.0,97,100,6.11,RU,1675131650
170,asfi,32.2994,-9.2372,11.61,65,91,2.7,MA,1675131651
171,ferrol,43.4832,-8.2369,4.82,83,5,2.48,ES,1675131651
172,mnogovershinnyy,53.9353,139.9242,-21.13,73,100,4.12,RU,1675131652
173,altay,47.8667,88.1167,-14.71,55,0,2.95,CN,1675131653
174,nesna,66.1967,13.0213,2.04,75,100,4.63,NO,1675131653
175,christchurch,-43.5333,172.6333,26.34,66,20,6.17,NZ,1675131149
176,sri aman,1.2376,111.4621,25.03,94,20,0.0,MY,1675131654
177,sept-iles,50.2001,-66.3821,-16.0,76,75,3.6,CA,1675131633
178,kyzyl-suu,42.3414,78.0056,-5.09,64,100,3.18,KG,1675131655
179,hue,16.4667,107.6,19.06,72,40,3.09,VN,1675131656
180,kieta,-6.2167,155.6333,30.25,61,83,3.29,PG,1675131657
181,pacific grove,36.6177,-121.9166,11.82,63,0,3.13,US,1675130909
182,bilma,18.6853,12.9164,17.21,19,100,4.57,NE,1675131215
183,maragogi,-9.0122,-35.2225,25.43,77,67,2.48,BR,1675130936
184,vestmannaeyjar,63.4427,-20.2734,5.16,91,95,12.65,IS,1675131659
185,longyearbyen,78.2186,15.6401,-8.09,67,20,4.63,SJ,1675131659
186,lieksa,63.3167,30.0167,-0.8,98,100,3.68,FI,1675131660
187,portmore,17.9702,-76.8672,25.98,74,20,2.06,JM,1675131661
188,marsh harbour,26.5412,-77.0636,24.04,79,0,4.03,BS,1675131395
189,salalah,17.0151,54.0924,19.05,72,0,2.57,OM,1675131662
190,carmaux,44.051,2.158,3.15,92,42,1.85,FR,1675131662
191,sisimiut,66.9395,-53.6735,-12.72,88,100,4.19,GL,1675130958
192,lompoc,34.6391,-120.4579,11.23,71,0,5.36,US,1675131403
193,manavalakurichi,8.1333,77.3,25.21,77,98,1.28,IN,1675131664
194,anadyr,64.75,177.4833,-0.72,86,75,13.0,RU,1675131664
195,doaba,33.4244,70.7364,5.67,68,1,1.55,PK,1675131665
196,codrington,-38.2667,141.9667,19.78,53,65,4.18,AU,1675131489
197,bontang,0.1333,117.5,25.78,88,100,1.37,ID,1675131666
198,pisco,-13.7,-76.2167,22.03,88,0,5.66,PE,1675130816
199,namibe,-15.1961,12.1522,22.47,76,100,2.07,AO,1675131074
200,saskylakh,71.9167,114.0833,-44.83,100,62,0.5,RU,1675131668
201,torbay,47.6666,-52.7314,1.99,95,75,5.66,CA,1675131668
202,zhanakorgan,43.9098,67.2495,-1.01,69,99,5.5,KZ,1675131669
203,teguldet,57.3064,88.1667,-10.82,95,100,2.72,RU,1675131670
204,moranbah,-22.0016,148.0466,27.99,61,100,6.9,AU,1675131671
205,santa cruz,-17.8,-63.1667,23.7,88,40,4.12,BO,1675131603
206,shubarshi,48.5872,57.1869,-13.97,91,8,2.56,KZ,1675131672
207,severo-kurilsk,50.6789,156.125,-3.9,55,94,9.9,RU,1675131673
208,ferme-neuve,46.7001,-75.4493,-10.24,96,100,1.76,CA,1675131673
209,zhigansk,66.7697,123.3711,-42.55,96,72,3.65,RU,1675131091
210,baruun-urt,46.6806,113.2792,-11.27,92,100,6.08,MN,1675131675
211,nisia floresta,-6.0911,-35.2086,26.45,80,98,4.01,BR,1675131676
212,sorland,67.667,12.6934,2.92,72,93,4.08,NO,1675131677
